DEPTH,WELL,CALI,CGR,DT,DTC,DTS,GR,NPHI,PE,POTA,RHOB,RT,RXO,SGR,THOR,URAN,LITHOLOGY
4106.1134,C,8.3966,18.068,65.724,-999.25,103.3567,26.4892,0.070324,4.8915,0.7018,2.4333,7.8579,2.25,26.4892,2.3409,0.9376,-999.25
4106.2658,C,8.3896,21.8237,65.6273,-999.25,104.4776,29.2479,0.061543,4.7325,0.9173,2.4335,8.949,2.4364,29.2479,2.5511,0.8266,-999.25
4106.4182,C,8.3877,24.1367,65.9853,-999.25,106.7313,31.2684,0.058613,4.6333,1.0897,2.4306,10.0998,3.2348,31.2684,2.5228,0.794,-999.25
4106.5706,C,8.3893,25.2831,66.9865,-999.25,111.0888,35.2557,0.097976,4.5901,1.2321,2.444,11.5237,4.0892,35.2557,2.2828,1.1103,-999.25
4106.723,C,8.4052,26.767,68.2637,-999.25,116.5245,43.7185,0.150971,4.5179,1.345,2.4776,12.569,4.2563,43.7185,2.2557,1.8873,-999.25
4106.8754,C,8.4311,31.8421,69.4098,-999.25,121.6241,53.9095,0.153341,4.7012,1.4036,2.54,12.7374,2.9682,53.9095,3.4633,2.4568,-999.25
4107.0278,C,8.465,41.8654,70.045,-999.25,125.0812,66.8203,0.145406,5.5478,1.4293,2.5878,12.2884,1.7381,66.8203,6.2054,2.7783,-999.25
4107.1802,C,8.5127,51.0427,70.278,-999.25,126.2834,75.6144,0.141275,6.8532,1.4779,2.6189,11.5323,0.9419,75.6144,8.6169,2.7357,-999.25
4107.3326,C,8.5036,59.6808,70.3319,-999.25,126.414,79.1819,0.141893,7.6079,1.6273,2.6192,10.9093,0.6751,79.1819,10.4749,2.1711,-999.25
4107.485,C,8.5223,66.199,70.2854,-999.25,126.2662,80.4681,0.137091,8.1282,1.7747,2.6176,10.4007,0.5552,80.4681,11.7394,1.5886,-999.25
4107.6374,C,8.5742,71.4682,70.142,-999.25,126.9701,81.816,0.130851,7.2766,1.8465,2.6172,9.8598,0.6889,81.816,12.9493,1.1521,-999.25
4107.7898,C,8.547,78.0885,70.0561,-999.25,128.5688,84.068,0.139683,6.3854,1.9579,2.6176,9.375,1.3838,84.068,14.3859,0.6657,-999.25
4107.9422,C,8.5542,85.2349,70.1448,-999.25,130.7458,87.8108,0.157566,6.1416,2.084,2.6197,8.8926,2.4524,87.8108,15.913,0.2868,-999.25
4108.0946,C,8.5897,89.4855,70.4501,-999.25,132.8733,91.6801,0.164169,6.6942,2.2711,2.6254,8.3432,2.7322,91.6801,16.3764,0.2443,-999.25
4108.247,C,8.5504,88.7096,71.1245,-999.25,135.2365,92.2521,0.185673,7.3858,2.3933,2.622,7.7569,2.2192,92.2521,15.671,0.3944,-999.25
4108.3994,C,8.4704,83.8777,72.2693,-999.25,138.3069,93.8024,0.208691,7.2674,2.3674,2.6129,7.1761,1.6826,93.8024,14.4028,1.105,-999.25
4108.5518,C,8.5484,85.7548,73.7894,-999.25,142.6429,96.6741,0.224163,7.1919,2.3355,2.6162,6.8091,1.4177,96.6741,15.0622,1.2157,-999.25
4108.7042,C,8.6072,92.1887,75.4111,-999.25,147.0669,100.2116,0.232999,6.9375,2.4445,2.6293,6.7181,0.8175,100.2116,16.4551,0.8932,-999.25
4108.8566,C,8.6589,93.736,76.5423,-999.25,151.2596,102.2406,0.246887,6.6134,2.6046,2.6302,6.8687,1.0884,102.2406,16.2586,0.9468,-999.25
4109.009,C,8.6746,91.2363,77.1175,-999.25,153.9214,102.5494,0.269663,6.443,2.7292,2.6179,7.0622,1.6949,102.5494,15.0546,1.2595,-999.25
4109.1614,C,8.6703,89.8646,76.9126,-999.25,155.0843,99.4247,0.257264,6.8981,2.7546,2.6174,7.3617,1.8199,99.4247,14.5646,1.0644,-999.25
4109.3138,C,8.699,95.7069,76.2859,-999.25,153.6684,99.3386,0.23966,7.4865,2.8497,2.6241,7.6227,0.9463,99.3386,15.8449,0.4043,-999.25
4109.4662,C,8.7385,103.6018,75.2493,-999.25,151.4242,105.8486,0.237581,7.8839,3.02,2.6292,7.9653,0.6941,105.8486,17.4089,0.2501,-999.25
4109.6186,C,8.7199,104.6745,74.324,-999.25,148.4952,106.9041,0.228817,8.0984,3.0626,2.6256,8.2963,0.7052,106.9041,17.5442,0.2482,-999.25
4109.771,C,8.7178,95.6123,73.6993,-999.25,146.4624,97.7139,0.178967,8.7032,2.9608,2.6189,8.3235,0.6899,97.7139,15.3768,0.234,-999.25
