sample number,Cumulative Oil (M m3)_1,Cumulative Oil (M m3)_3,Cumulative Oil (M m3)_5,Cumulative Oil (M m3)_7,Cumulative Oil (M m3)_9,Cumulative Oil (M m3)_11,Oil Rate (m3/day)_1,Oil Rate (m3/day)_3,Oil Rate (m3/day)_5,Oil Rate (m3/day)_7,Oil Rate (m3/day)_9,Oil Rate (m3/day)_11,Initial Sw
983,0.000248355,13.625,27.131,40.425,53.751,66.697,357.63,226.28,221.42,217.93,214.93,212.23,0.17
984,0.000908058,38.78,73.87,107.28,139.89,170.85,1307.6,615.72,575.25,547.67,526.0,507.62,0.24
985,0.00261331,98.595,184.86,264.53,339.7,407.26,3763.2,1550.2,1414.2,1306.1,1212.4,1107.6,0.23
986,0.00185325,81.678,159.06,232.76,304.08,370.96,2668.7,1334.1,1268.6,1208.1,1150.4,1096.3,0.21
987,0.00543325,192.73,348.28,475.49,580.42,669.6,7823.9,2914.5,2438.6,1986.9,1692.4,1462.0,0.21
988,0.000606158,30.721,60.749,89.939,118.82,146.53,872.87,508.31,492.26,478.52,465.88,454.19,0.24
989,0.000421373,17.984,35.771,53.275,70.797,87.784,606.78,297.19,291.59,286.96,282.61,278.47,0.23
990,0.00231835,89.472,167.91,238.77,305.72,366.23,3338.4,1396.4,1254.6,1161.6,1080.0,991.84,0.2
991,0.00291542,118.88,221.98,314.05,399.96,476.5,4198.2,1840.9,1646.5,1509.5,1385.6,1254.8,0.2
992,2.75202e-05,1.3313,2.5397,3.7016,4.8486,5.9517,39.629,21.032,19.811,19.047,18.501,18.083,0.19
993,0.00296537,127.36,237.55,337.1,428.79,510.8,4270.2,2014.8,1806.4,1632.0,1478.8,1344.4,0.22
994,0.00539895,198.59,364.0,504.06,620.34,719.69,7774.5,3063.8,2608.1,2183.7,1875.4,1628.7,0.2
995,0.000711921,34.756,68.642,101.57,134.12,165.31,1025.2,574.33,555.51,539.73,525.09,511.35,0.24
996,0.00311346,131.67,246.62,350.81,447.06,533.27,4483.4,2094.3,1884.4,1708.1,1552.3,1413.3,0.17
997,0.00128675,55.779,108.88,159.64,209.03,255.62,1852.9,914.41,870.55,832.15,796.54,763.75,0.21
998,0.00292854,122.34,229.64,327.03,417.08,497.89,4217.1,1950.7,1758.9,1596.6,1452.4,1324.9,0.26
999,2.26713e-05,1.2894,2.5919,3.892,5.2117,6.5089,32.647,21.451,21.353,21.312,21.286,21.265,0.23
1000,0.00289209,114.14,216.5,310.72,398.92,479.02,4164.6,1827.3,1678.0,1544.6,1422.7,1313.0,0.22
1001,0.000269346,11.786,23.088,34.15,45.21,55.941,387.86,191.35,185.27,181.35,178.38,175.92,0.22
1002,0.00137985,61.305,118.75,173.6,226.97,277.3,1987.0,993.08,941.64,899.29,860.74,825.12,0.2
1003,0.00120463,58.063,113.83,167.35,219.62,269.1,1734.7,956.75,914.16,877.41,843.15,811.15,0.24
1004,0.00326331,124.52,235.25,337.2,432.76,518.0,4699.2,1982.0,1815.2,1671.4,1541.2,1397.4,0.23
1005,0.000667834,27.771,54.756,81.162,107.45,132.82,961.69,453.81,442.37,432.88,424.08,415.81,0.26
1006,0.00066514,30.733,59.85,87.858,115.4,141.7,957.81,502.94,477.33,459.15,444.21,431.19,0.19
1007,0.00334309,118.77,222.35,315.26,400.05,475.82,4814.1,1839.8,1656.3,1523.1,1367.6,1242.0,0.24
1008,0.00389946,147.04,274.92,386.32,485.58,571.34,5615.3,2306.0,2032.8,1826.3,1600.9,1405.9,0.25
1009,0.000878355,38.039,73.873,108.43,142.43,174.87,1264.8,615.39,587.44,566.57,548.37,531.81,0.18
1010,0.0009698,48.357,94.679,139.31,183.07,224.64,1396.5,791.96,759.36,731.62,705.78,681.62,0.26
1011,0.000581564,28.234,55.146,81.245,107.06,131.83,837.46,459.7,441.19,427.85,416.39,405.99,0.24
