DEPTH,PHIE,SWE,VSH
2307.1,0.128112,0.4063,0.241786
2307.2,0.138193,0.3914,0.230968
2307.3,0.152156,0.3822,0.186711
2307.4,0.15999,0.3833,0.146552
2307.5,0.159468,0.4044,0.120851
2307.6,0.154791,0.4406,0.098145
2307.7,0.154626,0.457,0.090298
2307.8,0.158229,0.4684,0.074166
2307.9,0.157961,0.4824,0.067078
2308,0.152873,0.5031,0.074308
2308.1,0.149505,0.5102,0.077385
2308.2,0.145756,0.5131,0.082518
2308.3,0.1395,0.5121,0.086605
2308.4,0.134962,0.5132,0.083306
2308.5,0.130414,0.5112,0.080047
2308.6,0.12961,0.4932,0.07686
2308.7,0.127273,0.4826,0.078654
2308.8,0.123983,0.4714,0.079339
2308.9,0.121958,0.4685,0.074028
2309,0.121707,0.4681,0.071839
2309.1,0.125497,0.458,0.067322
2309.2,0.142644,0.4105,0.068878
2309.3,0.156302,0.3908,0.078074
2309.4,0.169022,0.3748,0.086878
2309.5,0.178207,0.3673,0.095371
2309.6,0.181521,0.3747,0.102745
2309.7,0.181762,0.3862,0.107438
2309.8,0.181474,0.3974,0.109153
2309.9,0.180036,0.4013,0.109038
2310,0.181394,0.3899,0.108802
2310.1,0.178443,0.3843,0.119384
2310.2,0.179191,0.3768,0.134851
2310.3,0.182742,0.3636,0.155303
2310.4,0.183774,0.3621,0.174811
2310.5,0.184369,0.3667,0.182341
2310.6,0.189441,0.372,0.177103
2310.7,0.191088,0.3896,0.179437
2310.8,0.193953,0.4168,0.15209
2310.9,0.192442,0.4476,0.123833
2311,0.186878,0.4725,0.116291
2311.1,0.1832,0.4894,0.101296
2311.2,0.175714,0.507,0.086022
2311.3,0.170657,0.511,0.081652
2311.4,0.171889,0.4956,0.083128
2311.5,0.173158,0.4757,0.084878
2311.6,0.172266,0.4565,0.090191
2311.7,0.168416,0.4388,0.100832
2311.8,0.167403,0.4108,0.113118
2311.9,0.166285,0.3948,0.135545
2312,0.120093,0.5267,0.163615
2312.1,0.135106,0.4842,0.166597
2312.2,0.13602,0.4917,0.175523
2312.3,0.151407,0.4644,0.182144
2312.4,0.157469,0.455,0.191359
2312.5,0.153855,0.4847,0.212477
2312.6,0.142892,0.5443,0.229947
2312.7,0.137211,0.612,0.246983
2312.8,0.134037,0.6524,0.278125
2312.9,0.133753,0.6526,0.300453
2313,0.136658,0.623,0.341238
2313.1,0.141032,0.6073,0.352372
2313.2,0.14955,0.5873,0.35837
2313.3,0.148237,0.6423,0.370234
2313.4,0.134865,0.7249,0.396056
2313.5,0.111812,0.85,0.438158
2313.6,0.064585,1,0.474743
2313.7,0.028043,1,0.509794
2313.8,0.014347,0.9999,0.52713
2313.9,0.011463,0.9999,0.527302
2314,0.013059,0.9999,0.512045
2314.1,0.021401,1,0.474195
2314.2,0.037672,1,0.388468
2314.3,0.057,0.8433,0.284987
2314.4,0.071377,0.6834,0.21141
2314.5,0.127358,0.4239,0.176484
2314.6,0.136905,0.4676,0.136003
