sample number,Cumulative Oil (M m3)_1,Cumulative Oil (M m3)_3,Cumulative Oil (M m3)_5,Cumulative Oil (M m3)_7,Cumulative Oil (M m3)_9,Cumulative Oil (M m3)_11,Oil Rate (m3/day)_1,Oil Rate (m3/day)_3,Oil Rate (m3/day)_5,Oil Rate (m3/day)_7,Oil Rate (m3/day)_9,Oil Rate (m3/day)_11,Initial Sw
505,0.00115177,57.147,111.35,163.15,213.53,261.05,1658.6,934.9,888.58,849.12,812.69,778.94,0.19
506,0.0048919,193.34,358.47,505.62,636.84,748.22,7044.4,3040.6,2707.0,2412.3,2116.4,1825.9,0.21
507,0.00079275,33.472,64.816,95.142,125.1,153.81,1141.6,538.55,513.84,497.14,483.18,470.62,0.24
508,0.0011489,43.425,83.248,121.05,157.71,192.24,1654.4,695.43,652.84,619.77,591.29,565.97,0.25
509,0.017361,1475.0,2606.5,3262.8,3816.3,4297.0,25000.0,25000.0,13515.0,10146.0,8926.0,7880.6,0.18
510,0.000154503,7.154,14.017,20.766,27.542,34.145,222.49,115.48,112.51,110.64,109.29,108.24,0.21
511,0.00453127,163.29,302.36,421.13,525.68,616.47,6525.1,2513.4,2208.6,1947.0,1686.3,1488.4,0.25
512,0.000153094,7.9345,15.864,23.726,31.656,39.404,220.46,131.59,130.0,128.87,127.91,127.02,0.24
513,0.00165502,60.269,115.87,169.0,220.75,269.65,2383.2,965.13,911.55,870.91,834.74,801.53,0.17
514,0.000679784,31.506,61.326,90.07,118.4,145.5,978.9,514.68,488.85,471.22,456.87,444.32,0.21
515,0.00263737,110.02,210.97,305.49,395.52,478.64,3797.8,1776.9,1655.0,1549.5,1452.0,1362.7,0.17
516,0.000811372,36.349,70.795,104.01,136.68,167.85,1168.4,590.7,564.69,544.57,526.91,510.9,0.2
517,0.000172668,9.7872,19.666,29.464,39.346,48.998,248.64,163.68,161.95,160.62,159.39,158.23,0.2
518,0.0012329,56.584,110.08,161.12,210.7,257.4,1775.4,923.1,877.01,836.73,799.61,765.59,0.17
519,0.000177823,9.0254,17.853,26.557,35.313,43.853,256.07,148.12,144.71,142.7,141.22,140.0,0.21
520,0.000789391,32.913,64.054,94.191,123.93,152.39,1136.7,531.73,510.51,494.04,479.62,466.55,0.18
521,0.0012747,58.736,114.6,168.06,220.08,269.16,1835.6,960.19,915.87,876.26,839.12,804.57,0.23
522,0.00059685,26.946,52.021,76.246,100.21,123.24,859.47,432.68,411.06,397.13,386.53,377.58,0.21
523,0.000106376,5.7245,11.347,16.903,22.508,27.989,153.18,94.406,92.174,91.086,90.39,89.854,0.2
524,0.00102962,39.822,76.44,111.45,145.68,178.17,1482.7,636.45,600.29,573.97,552.04,532.72,0.19
525,8.94182e-05,4.9973,10.031,15.043,20.118,25.095,128.76,83.23,82.527,82.155,81.858,81.587,0.18
526,0.00386268,135.86,253.55,360.25,458.03,541.85,5562.3,2133.5,1929.3,1749.3,1528.2,1374.1,0.26
527,0.00115182,56.093,109.3,160.18,209.75,256.59,1658.6,918.16,872.18,834.12,799.57,767.87,0.22
528,0.000812447,31.809,62.207,91.755,121.04,149.2,1169.9,517.19,498.33,484.39,472.4,461.5,0.18
529,0.017361,1475.0,3000.0,4525.0,5513.3,6256.2,25000.0,25000.0,25000.0,25000.0,15940.0,12179.0,0.19
530,0.00534941,156.03,277.45,380.67,474.19,556.0,7703.2,2276.7,1915.5,1692.2,1508.4,1341.1,0.24
531,0.000641874,31.546,62.738,93.257,123.62,152.87,924.3,523.92,511.35,500.31,489.68,479.48,0.26
